title,abstract,doi,year,author,journal,source,normalized_title
"Variability in polar bear <i>Ursus maritimus</i> stable isotopes in
   relation to environmental change in the Canadian Beaufort Sea","Diets of apex predators can be used to understand the effects of
   environmental changes within an ecosystem and to monitor shifts in
   community dynamics. Using stable isotopes of nitrogen and carbon (delta
   N-15 and delta C-13) in polar bear Ursus maritimus guard hairs, we
   examined their diet in the Canadian Beaufort Sea from 2003 to 2011. We
   investigated how delta N-15 and delta C-13 were related to population
   demographics, sea ice dynamics, climate indices, air temperatures, and
   ringed seal Pusa hispida ovulation rates. Bayesian stable isotope models
   were used to determine annual variation in prey contributions and niche
   widths. Diet contributions from ringed seal, bowhead whale Balaena
   mysticetus, beluga Delphinapterus leucas, and bearded seal Erignathus
   barbatus varied by sex, reproductive status, and year. Polar bear ringed
   seal consumption was lowest and niche widths were highest in 2004
   following ringed seal reproductive failure in the early 2000s, and polar
   bear delta N-15 decreased when ringed seal ovulation rate was high.
   Polar bear delta N-15 and delta C-13 were linked to capture locations,
   which may reflect geographic gradients in stable isotopes within the
   Beaufort Sea. Climate indices were not related to polar bear delta N-15
   and delta C-13. Sea ice dynamics were related to polar bear delta C-13,
   suggesting that the bears' diets shift in response to environmental
   change. Overall, these results highlight the biological link between
   polar bears and ringed seals, as well as sea ice dynamics, and the
   importance of considering geographic location in stable isotope studies.",10.3354/meps13136,2019,Nicole Boucher and Andrew E. Derocher and Evan S. Richardson,MARINE ECOLOGY PROGRESS SERIES,WoS_Old,<i>ursus bear beaufort canadian change environmental in in in isotopes maritimus<i> polar relation sea stable the to variability
"Latitudinal changes in the structure of marine food webs in the
   Southwestern Atlantic Ocean","Food chain length is known to increase with primary productivity,
   species richness and environmental stability. Primary productivity and
   species richness decrease poleward at mid and high latitudes in the
   Southwestern Atlantic, and hence food chain length of coastal ecosystems
   is expected to decrease poleward, unless seasonal changes in water
   temperature destabilise food webs at mid latitude. We used stable
   isotopes of carbon and nitrogen and SIBER (Stable Isotope Bayesian
   Ellipses in R) to determine the food chain length and other patterns of
   interconnections (i.e. topology) of coastal food webs from 3 contrasting
   regions: the temperate estuarine zone associated with the Rio de la
   Plata plume, the tidal zone off northern and central Patagonia, and the
   cold estuarine zone off southern Patagonia. Results indicate that food
   chain length decreases and trophic redundancy increases as latitude
   increases in all of the compartments of the food web considered. This is
   in agreement with results emerging from reconstructions of marine food
   web length during the late Holocene in the same regions, thus suggesting
   that they are not artefacts caused by the intense exploitation of top
   predators in the region since European settlement. Furthermore,
   differences in primary productivity do not fully explain the observed
   patterns. Instead, we argue that the latitudinal reduction of species
   diversity reported for the Southwestern Atlantic may be the primary
   reason for the observed pattern. The reduction in the diversity of
   forage fishes and squids at high latitude is proposed to result into a
   wasp-waist ecosystem, characterised by a high trophic redundancy at high
   trophic levels.",10.3354/meps11464,2015,F. Saporiti and S. Bearhop and D. G. Vales and L. Silva and L. Zenteno and M. Tavares and E. A. Crespo and L. Cardona,MARINE ECOLOGY PROGRESS SERIES,WoS_Old,atlantic changes food in in latitudinal marine ocean of southwestern structure the the webs
"Changes in food web structure and ecosystem functioning of a large,
   shallow Chinese lake during the 1950s, 1980s and 2000s","Food web structure dynamics and ecosystem functioning are strongly
   linked, and both are indispensable in evaluating ecosystem development
   in lakes under multiple anthropogenic stressors. However, model-based
   approaches concerning the changes in food web structure and ecosystem
   functioning in a certain lake during distinct periods are scarce. In
   this study, we focus on Lake Chaohu, the fifth-largest lake in China,
   which has undergone drastic changes over the last several decades. Data
   from the 1950s, 1980s and 2000s were used to create three Ecopath
   mass-balance models. These Ecopath models were validated by the stable
   isotope-determined trophic level (TL) for each functional group, which
   indicated an acceptable model performance. Overtime, we observed a
   collapse of the food web toward a simplified structure and decreasing
   biodiversity and trophic interactions. The lake ecosystem was
   approaching an immature but stable status from the 1950s to the 2000s,
   as indicated by the multiple related indicators and the distribution of
   energy flows in slow detrital-based and fast primary producer-based
   channels. We further discuss the potential driving factors and
   underlying mechanisms, hypothesizing that hydrological regulation may
   play a significant role in driving all of these changes in Lake Chaohu
   in addition to eutrophication and intensive fishery. Overall, we
   strongly advocate the identification of a threshold in abundance of
   zooplanktivorous fish, an integrated strategy for future ecological
   restoration in Lake Chaohu, and the consideration of using Ecopath as a
   new management tool for other lakes, thereby bridging the strategies
   from both environmental and ecological perspectives. (C) 2015 Elsevier
   B.V. All rights reserved.",10.1016/j.ecolmodel.2015.06.045,2016,Xiangzhen Kong and Wei He and Wenxiu Liu and Bin Yang and Fuliu Xu and Sven Erik Jorgensen and Wolf M. Mooij,ECOLOGICAL MODELLING,WoS_Old,1950s 1980s 2000s a and and changes chinese during ecosystem food functioning in lake large of shallow structure the web
"Stable isotope variation of a highly heterogeneous shallow freshwater
   system","Food web structure is well known to vary widely among ecosystems. Recent
   research indicates that there can be a high degree of spatial
   heterogeneity within ecosystems as well. Xochimilco is a small
   heterogeneous freshwater system that has been transformed into a network
   of canals, small lakes, and wetlands. Located within Mexico City, this
   ecosystem has been intensively managed and highly impacted for more than
   50 years. This system receives urban and agricultural runoff, with
   resulting impacts on water quality. The aquatic community is dominated
   by exotics such as carp (Cyprinus carpio) and tilapia (Oreocrhomis
   niloticus), though the system still supports endemic species such as the
   aquatic salamander, axolotl (Ambystoma mexicanum), and crayfish
   (Cambarellus montezumae), which are both endangered. In this study, we
   used carbon and nitrogen stable isotopes for the whole food web and gut
   content analysis from the exotic fishes to describe food web structure
   in different canals within Xochimilco. There were significant isotopic
   differences among canals. These differences may result from isotopic
   baseline differences as well as differences in actual food web
   structure: both are related to local spatial variation in water quality
   driven by nutrient inputs and exotic fishes. Within-ecosystem
   variability is likely to be seen in other perturbed shallow systems as
   well, and should be explicitly considered in future food web studies.",10.1007/s10750-010-0182-2,2010,Luis Zambrano and Elsa Valiente and M. Jake {Vander Zanden},HYDROBIOLOGIA,WoS_Old,a freshwater heterogeneous highly isotope of shallow stable system variation
"Long-term ecological research in freshwaters enabled by regional
   biodiversity collections, stable isotope analysis, and environmental
   informatics","Biodiversity collections are experiencing a renaissance fueled by the
   intersection of informatics, emerging technologies, and the extended use
   and interpretation of specimens and archived databases. In this article,
   we explore the potential for transformative research in ecology
   integrating biodiversity collections, stable isotope analysis (SIA), and
   environmental informatics. Like genomic DNA, SIA provides a common
   currency interpreted in the context of biogeochemical principles.
   Integration of SIA data across collections allows for evaluation of
   long-term ecological change at local to continental scales. Challenges
   including the analysis of sparse samples, a lack of information about
   baseline isotopic composition, and the effects of preservation remain,
   but none of these challenges is insurmountable. The proposed research
   framework interfaces with existing databases and observatories to
   provide benchmarks for retrospective studies and ecological forecasting.
   Collections and SIA add historical context to fundamental questions in
   freshwater ecological research, reference points for ecosystem
   monitoring, and a means of quantitative assessment for ecosystem
   restoration.",10.1093/biosci/biad039,2023,Thomas F. Turner and Henry L. {Bart Jr} and Frank McCormick and Alexi C. Besser and Rachel E. Bowes and Krista A. Capps and Emily S. DeArmon and Casey B. Dillman and Katelyn P. Driscoll and Aubrey Dugger and Gregor L. Hamilton and Phillip M. Harris and Dean A. Hendrickson and Joel Hoffman and Jason H. Knouft and Ryan F. Lepak and Hernan Lopez-Fernandez and Carmen G. Montana and Seth D. Newsome and Allison A. Pease and W. Leo Smith and Christopher A. Taylor and Rachel L. Welicky,BIOSCIENCE,WoS_Old,analysis and biodiversity by collections ecological enabled environmental freshwaters in informatics isotope longterm regional research stable
"Trophic position of Antarctic ice fishes reflects food web structure
   along a gradient in sea ice persistence","Variation in sea ice conditions is closely linked to primary production
   in Antarctica, which, in turn, influences food web dynamics. To
   investigate how sea ice dynamics are reflected in food web structure, we
   measured the trophic level and composition of basal organic matter
   supporting the prey base of 2 benthic and 2 pelagic ice fish species
   collected from sites along a gradient in sea ice persistence in McMurdo
   Sound, Ross Sea, Antarctica. Stable isotope analysis (delta N-15 and
   delta C-13) was carried out on samples collected from multiple sites
   during 2008 and 2012 to 2014. General linear models revealed that
   `trophic position' differed among species at a single site, and within
   benthic species among sites distributed along the gradient in sea ice
   persistence. Benthic species located at the southernmost sites in
   McMurdo Sound derived the highest proportion of diet from food webs
   supported by the sea ice microbial community (SIMCO), an important
   subsidy of organic matter to the sea-floor environment. Increased
   thickness and persistence of sea ice in McMurdo Sound due to the
   presence of icebergs resulted in a higher proportion of diet derived
   from SIMCO for the ice fish Trematomus bernacchii in 2008 compared to
   the 2012 to 2014 period. Analyses of dispersion for individual trophic
   positions revealed that individual level specialisation was lowest at
   sites with the highest variability in sea ice cover. These results
   provide evidence for linkages between sea ice dynamics and food web
   structure, and highlight the role of ice fishes as sentinels for
   environmental and ecological changes in Antarctica.",10.3354/meps12031,2017,Rebecca M. McMullin and Stephen R. Wing and Lucy C. Wing and Olya A. Shatova,MARINE ECOLOGY PROGRESS SERIES,WoS_Old,a along antarctic fishes food gradient ice ice in of persistence position reflects sea structure trophic web
"Food resources of the bivalve <i>Astarte elliptica</i> in a sub-Arctic
   fjord: a multi-biomarker approach","It is generally agreed that pelagic-benthic coupling is tight on Arctic
   shelves, i.e. that organic matter produced in the surface layers
   supports the seafloor and benthos. However, this paradigm is mainly
   based on the assumption that phytoplankton and ice algae are the main
   sources of carbon for the benthic communities. Climate change is
   expected to alter the relative contribution of food sources for benthic
   organisms. Macroalgal biomass is predicted to increase in near-shore
   systems in response to increased temperature and reduced sea ice cover.
   Thus, a better understanding of the relative contribution of benthic and
   pelagic components in benthic food webs in the Arctic is needed. In this
   study, a multi-biomarker approach (stable isotopes, fatty acid trophic
   markers, and compound-specific stable isotope analysis) was applied to
   link potential sources of carbon, including particulate organic matter
   from subsurface and bottom waters, sediment organic matter, and 6
   macroalgal species to the diet of the bivalve Astarte elliptica
   collected below the euphotic zone in a sub-Arctic fjord (Kobbefjord,
   Greenland). Results showed that A. elliptica feeds on particulate and
   sediment organic matter and that brown macroalgae significantly support
   the Arctic benthic food web. Multi-biomarker approaches can be used to
   determine the diet of benthic organisms and track temporal variability
   in sources of food. It therefore appears to be an interesting method to
   study food regime strategies in response to changing primary production
   dynamics.",10.3354/meps12036,2017,Blandine Gaillard and Tarik Meziane and Rejean Tremblay and Philippe Archambault and Martin E. Blicher and Laurent Chauvaud and Soren Rysgaard and Frederic Olivier,MARINE ECOLOGY PROGRESS SERIES,WoS_Old,<i>astarte a a approach bivalve elliptica<i> fjord food in multibiomarker of resources subarctic the
"A comparison of the trophic ecology of Beaufort Sea Gadidae using fatty
   acids and stable isotopes","Polar cod (Boreogadus saida) is one of the most studied Arctic marine
   fishes given its circumpolar distribution and centralised role in the
   Arctic marine food web. In contrast, relatively little is known about
   two other Arctic Gadidae: saffron cod (Eleginus gracilis) and Greenland
   cod (Gadus ogac). Climate change is expected to have an effect on sea
   ice-associated species, such as polar cod, but due to our lack of
   knowledge of other arctic gadid species it remains unclear how climate
   change will impact them and their interactions within the arctic marine
   ecosystem. Here, we explored the ecology of three Arctic Gadidae that
   co-occur in the Canadian Beaufort Sea. Stable isotope (SI) (niche
   overlap) and fatty acid (FA) (correspondence analysis and linear
   discriminant analysis) biomarkers were used to assess among- and
   within-species differences and trophic niche. Despite the close habitat
   proximity of saffron cod and polar cod while on the shelf, trophic niche
   characterisation revealed only a marginal overlap. Marginal niche
   overlaps also occurred for the two coastal species with similar diets,
   saffron cod and Greenland cod, likely reflecting regional-scale
   differences between two habitats. Within-species, polar cod collected
   from three habitats (shelf, upper- and lower-slope habitats) were not
   differentiated likely due to the movement of individuals between
   habitats. In contrast, Greenland cod had a narrow trophic niche and
   differentiation occurred between the two collection sites. The
   comparison of trophic niches defined by stable isotope and fatty acid
   proved a promising tool for new insights into the ecology of Arctic
   fishes.",10.1007/s00300-017-2178-0,2018,J. D. Brewster and C. Giraldo and E. S. Choy and S. A. MacPhee and C. Hoover and B. Lynn and D. G. McNicholl and A. Majewski and B. Rosenberg and M. Power and J. D. Reist and L. L. Loseto,POLAR BIOLOGY,WoS_Old,a acids and beaufort comparison ecology fatty gadidae isotopes of of sea stable the trophic using
"Piscivore Diet Shifts and Trophic Level Change after Alewife
   Establishment in Lake Champlain","Invasions and deliberate introductions of new prey species are likely to
   affect the prey choice and trophic level of resident predators. Rainbow
   Smelt Osmerus mordax and Alewife Alosa pseudoharengus are common prey
   fish species in lakes throughout North America, either as native or
   nonnative species. The establishment of Alewives in the 2000s in a lake
   with a native Rainbow Smelt population (Lake Champlain) presented an
   opportunity to study changes in the diet and trophic level of fish
   already established in the system. Using stable isotope analysis, we
   found that Alewives became a major component of predator diets, in
   particular of the diets of Atlantic Salmon Salmo salar and Walleye
   Sander vitreus. Lake Trout Salvelinus namaycush consumed relatively few
   Alewives. For Walleyes (the predator with both pre- and post-Alewife
   isotope ratios available), the N-15 values decreased significantly from
   the pre-Alewife period of the late 1990s, indicating that Walleyes feed
   at lower trophic levels when Alewives are present. Predation on Alewives
   was correlated with the amount of spatial overlap of predators and prey.
   Our results show that the introduction of Alewives has altered the
   predator-prey linkages in Lake Champlain, alterations that can have
   major effects on food web structure and trophic cascades.",10.1002/tafs.10080,2018,Paul W. Simonin and Lars G. Rudstam and Donna L. Parrish and Bernard Pientka and Patrick J. Sullivan,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,WoS_Old,after alewife and champlain change diet establishment in lake level piscivore shifts trophic
"Primary Sources and Food Web Structure of a Tropical Wetland with High
   Density of Mangrove Forest","The trophic ecology of wetlands with mangrove forests remains poorly
   understood. Through the use of stomach contents analysis, stable isotope
   signatures, and Bayesian mixing models, the food web of a tropical
   wetland in the gulf of California was investigated. Consumers had
   heterogeneous diets, omnivores were the most abundant species (47\%),
   followed by planktivorous (21\%), minor piscivores (10\%), major
   piscivores (10\%), macrobenthivores (9\%), and herbivores (3\%). The
   values of delta C-13 (from -12 to -29 parts per thousand) and delta N-15
   (from 4 to 24 parts per thousand) showed a wide range of isotopic values
   of the consumers. Most of the species had a broad isotopic niche and
   there was a large diet overlap of species due to the exploitation of a
   common set of food resources. Five trophic levels were identified, with
   the weakfish (Cynoscion xanthulus) as the top predator of this system
   with detritus coming from the mangrove as the main source that supports
   the food chain. This highlights the importance of the mangrove forests
   to such ecosystems, because not only they are the most important primary
   food source, but also, they offer habitat to a large suite of fauna,
   which are important components of the trophic chain.",10.3390/w12113105,2020,Victor M. Muro-Torres and Felipe Amezcua and Martin Soto-Jimenez and Eduardo F. Balart and Elisa Serviere-Zaragoza and Lucinda Green and Jana Rajnohova,WATER,WoS_Old,a and density food forest high mangrove of of primary sources structure tropical web wetland with
"Benthic food web structure in the southeastern Chukchi Sea: an
   assessment using δ<SUP>13</SUP>C and δ<SUP>15</SUP>N analyses","The benthos of the southeastern Chukchi Sea shelf is typified by high
   faunal abundance and biomass resulting from settlement of a large
   proportion of seasonal phytoplankton under highly nutritious offshore
   Bering Shelf Anadyr Water (BSAW). In contrast, inshore Alaska Coastal
   Water (ACW) is much less productive. Yet the Chukchi Bight and Kotzebue
   Sound, located under ACW in the southeastern Chukchi Sea, contain a
   substantial faunal abundance and biomass of invertebrates, fishes and
   marine mammals. We examined food web structure to gain an understanding
   of how a relatively rich benthic fauna with a high biomass can be
   supported under ACW with a supposedly low flux of carbon to the benthos.
   We measured stable isotope (delta C-13 and delta N-15) values of
   selected organisms (from zooplankton to fishes) as markers of food
   sources and trophic position to compare fauna on the shelf under BSAW
   with that in the Chukchi Bight and Kotzebue Sound under ACW. Relative
   isotope position of organisms in all three regions was similar, even
   though some pelagic species within the Sound were depleted in delta C-13
   compared to the other regions. We attribute the depletion to the
   influence of terrestrially derived carbon. We suggest that the
   hydrodynamics along an oceanic front between the Chukchi Shelf and the
   Chukchi Bight support the advection of nutrient-rich POC into the Bight
   and Sound as additional food sources to local production. We conclude
   that local conditions and multiple POC sources in the Bight and Sound
   support the substantial population of benthic invertebrates and the
   fishes, seabirds, and marine mammals that feed on them.",10.1007/s00300-010-0906-9,2011,Howard M. Feder and Katrin Iken and Arny L. Blanchard and Stephen C. Jewett and Susan Schonberg,POLAR BIOLOGY,WoS_Old,an analyses and assessment benthic chukchi food in sea southeastern structure the using web δ<sup>13<sup>c δ<sup>15<sup>n
"Food Webs and Fish Size Patterns in Insular Lakes Partially Support
   Climate-Related Features in Continental Lakes","Disentangling the effects of climate change on nature is one of the main
   challenges facing ecologists nowadays. Warmer climates forces strong
   effects on lake biota for fish, leading to a reduction in size, changes
   in diet, more frequent reproduction, and stronger cascading effects.
   Space-for-time substitution studies (SFTS) are often used to unravel
   climate effects on lakes biota; however, results from continental lakes
   are potentially confounded by biogeographical and evolutionary
   differences, also leading to an overall higher fish species richness in
   warm lakes. Such differences may not be found in lakes on remote
   islands, where natural fish free lakes have been subjected to stocking
   only during the past few hundred years. We studied 20 species-poor lakes
   located in two remote island groups with contrasting climates, but
   similar seasonality: the Faroe Islands (cold; 6.5 +/- 2.8 degrees C
   annual average (SD) and the Azores Islands (warm; 17.3 +/- 2.9 degrees
   C)). As for mainland lakes, mean body size of fish in the warmer lakes
   were smaller overall, and phytoplankton per unit of phosphorus higher.
   The delta C-13 carbon range for basal organisms, and for the whole food
   web, appeared wider in colder lakes. In contrast to previous works in
   continental fresh waters, Layman metrics of the fish food web were
   similar between the two climatic regions. Our results from insular
   systems provide further evidence that ambient temperatures, at least
   partially, drive the changes in fish size structure and the cascading
   effects found along latitude gradients in lakes.",10.3390/w13101380,2021,Nicolas Vidal and Susanne L. Amsinck and Vitor Goncalves and Jose M. Neto Azevedo and Liselotte S. Johansson and Kirsten S. Christoffersen and Torben L. Lauridsen and Martin Sondergaard and Rikke Bjerring and Frank Landkildehus and Klaus P. Brodersen and Mariana Meerhoff and Erik Jeppesen,WATER,WoS_Old,and climaterelated continental features fish food in in insular lakes lakes partially patterns size support webs
"Long-term ecological changes in marine mammals driven by recent warming
   in northwestern Alaska","Carbon and nitrogen isotopes analyses were performed on marine mammal
   bone collagen from three archaeological sites (AD 1170-1813) on Cape
   Espenberg (Kotzebue Sound, northwestern Alaska) as well as modern
   animals harvested from the same area to examine long-term trends in
   foraging ecology and sea ice productivity. We observed significant and
   dramatic changes in ringed seal stable isotope values between the early
   19th and early 21st centuries, likely due to changing sea ice
   productivity and reduced delivery of organic matter to the benthos
   driven by recent warming in the Arctic. These data highlight the
   importance of the archaeological record for providing a long-term
   perspective on environmental variation and interpreting recent changes
   driven by anthropogenic processes.",10.1111/gcb.13880,2018,Paul Szpak and Michael Buckley and Christyann M. Darwent and Michael P. Richards,GLOBAL CHANGE BIOLOGY,WoS_Old,alaska by changes driven ecological in in longterm mammals marine northwestern recent warming
"Flow intermittency influences the trophic base, but not the overall
   diversity of alpine stream food webs","Alpine streams can exhibit naturally high levels of flow intermittency.
   However, how flow intermittency in alpine streams affects ecosystem
   functions such as food web trophic structure is virtually unknown. Here,
   we characterized the trophic diversity of aquatic food webs in 28
   headwater streams of the Val Roseg, a glacierized alpine catchment. We
   compared stable isotope (delta C-13 and delta N-15) trophic indices to
   high temporal resolution data on flow intermittency. Overall trophic
   diversity, food chain length and diversity of basal resource use did not
   differ to a large extent across streams. In contrast, gradient and
   mixing model analysis indicated that primary consumers assimilated
   proportionally more periphyton and less allochthonous organic matter in
   more intermittent streams. Higher coarse particulate organic matter
   (CPOM) C:N ratios were an additional driver of changes in
   macroinvertebrate diets. These results indicate that the trophic base of
   stream food webs shifts away from terrestrial organic matter to
   autochthonous organic matter as flow intermittency increases, most
   likely due to reduced CPOM conditioning in dry streams. This study
   highlights the significant, yet gradual shifts in ecosystem function
   that occur as streamflow becomes more intermittent in alpine streams. As
   alpine streams become more intermittent, identifying which functional
   changes occur via gradual as opposed to threshold responses is likely to
   be vitally important to their management and conservation.",10.1111/ecog.04597,2019,Andre R. Siebers and Amael Paillex and Christopher T. Robinson,ECOGRAPHY,WoS_Old,alpine base but diversity flow food influences intermittency not of overall stream the the trophic webs
"The introduced Micropterus salmoides in an equatorial lake: a
   paradoxical loser in an invasion meltdown scenario?","Micropterus salmoides is a North American piscivorous fish on the IUCN
   list of 100 of the world's worst invasive alien species. Introduced into
   Lake Naivasha (Kenya) in 1929, their current population abundance is
   significantly depressed in a lake that has recently become dominated by
   fishes of the Cyprinidae family; the introduced cyprinid Cyprinus carpio
   now dominates catches in the commercial fishery and Barbus paludinous is
   now numerically dominant in the fish community. Long-term diet studies
   of M. salmoides based on gut contents analysis (GCA) have defined their
   diet spectrum, feeding preferences and ontogenetic dietary shifts.
   Between 1987 and 1991, diet was size-structured; fish < 260 mm were
   mainly insectivorous and fish > 260 mm fed mainly on invasive crayfish
   Procambarus clarkia with B. paludinosus rarely taken. More recent GCA
   data revealed that up to 2003, these size-structured trophic
   relationships were still evident, but there has been a subsequent shift
   to their feeding almost exclusively on small (< 100 mm) B. paludinosus,
   coincident with a size-related functional switch whereby M. salmoides >
   120 mm were now piscivorous. However, a Bayesian stable isotope mixing
   model (SIAR) suggested M. salmoides diet actually remained relatively
   varied in 2006 and 2007; it indicated P. clarkii were still contributing
   more to their diet than B. paludinosus in fish < 260 mm and provided
   only partial support for the functional shift. The consequence of the M.
   salmoides depressed population abundance is their predation pressure on
   prey fishes is limited and preventing top-down effects. This is in
   contrast to their invasive populations elsewhere in the world and the
   likely result of invasion meltdown processes in Naivasha involving the
   introduced C. carpio and P. clarkii that have produced sub-optimal
   foraging conditions for M. salmoides.",10.1007/s10530-010-9742-7,2010,J. Robert Britton and David M. Harper and Dalmas O. Oyugi and Jonathan Grey,BIOLOGICAL INVASIONS,WoS_Old,a an an equatorial in in introduced invasion lake loser meltdown micropterus paradoxical salmoides scenario the
"Crop colonisation, feeding, and reproduction by the predatory beetle,
   <i>Hippodamia convergens</i>, as indicated by stable carbon isotope
   analysis","1. Habitat management to enhance natural enemy populations in
   agricultural systems may help regulate levels of crop pests, but little
   research addresses the behaviour of immigrating beneficial insects.
   2. Stable carbon isotopes were used in complementary laboratory and
   field studies to examine colonisation behaviour of an ephemeral
   agricultural habitat by the lady beetle, Hippodamia convergens
   Guerin-Meneville.
   3. Under laboratory conditions, H. convergens carbon isotope ratios,
   delta(13)C, changed after its food supply was shifted from a C-4- to a
   C-3-based diet of aphids produced on grain sorghum or cotton
   respectively. Final isotope ratios of adult H. convergens were closer to
   that of the new C-3-based diet, with most change in delta(13)C occurring
   within 3 days after the diet shift.
   4. The carbon isotope ratios of lady beetle adults collected in cotton
   fields suggested that grain sorghum was a continuous source for H.
   convergens until many nearby sorghum fields matured and senesced.
   5. When cotton aphid (Aphis gossypii Glover) prey were absent, carbon
   isotope ratios of beetle populations did not change over time and
   virtually no egg production by H. convergens was detected. This
   indicates that beetles were feeding little on non-aphid resources
   originating in cotton.
   6. With cotton aphids present, beetle isotope ratios decreased towards
   the carbon isotope ratio of cotton, indicating adult feeding in cotton.
   As a result, egg masses produced had carbon isotope ratios in the C-3
   range of values.
   7. The results suggest that some predator species may be retained in
   habitats without large prey populations, a quality essential in
   controlling pests in agricultural systems.",10.1111/j.0307-6946.2004.00585.x,2004,JR Prasifka and KM Heinz and KO Winemiller,ECOLOGICAL ENTOMOLOGY,WoS_Old,<i>hippodamia analysis and as beetle by by carbon colonisation convergens<i> crop feeding indicated isotope predatory reproduction stable the
"Combining stable isotope enrichment, compartmental modelling and
   ecological network analysis for quantitative measurement of food web
   dynamics","1. Quantitative food web analysis is made difficult by the need for
   simultaneous measurement of multiple carbon (C) flows. C flow rates can
   potentially be quantified indirectly using conventional methods such as
   gut contents analysis, but the involvement of many conversion factors
   and assumptions results in significant errors in the final estimation.
   Such difficulties have limited quantitative data on food web dynamics,
   restricting community-level hypothesis testing.
   2. We conducted laboratory microcosm and field experiments, using
   combined enriched stable isotope ((13)C), compartmental modelling and
   ecological network analysis (ENA) as a novel approach to quantifying
   food web dynamics. Feasibility of this approach was demonstrated via the
   quantification of C flow, backflow and cycling in a subtropical
   estuarine sandflat food web comprising three trophic levels:
   microphytobenthos (MPB), three dominant meiofaunal groups (juvenile
   polychaetes, harpacticoid copepods and nematodes) and soldier crabs
   (Mictyris longicarpus).
   3. Enriched sodiumbicarbonate (NaH(13)CO(3)) was used to trace C flow.
   The compartmental modelling software WINSAAM quantified C flow by
   comparing the temporal patterns of producer and consumer (13)C
   enrichment. Network analysis software ECONET was used to assess food web
   dynamics by providing system indices that quantified the flows and food
   web interactions.
   4. This approach allows concurrent quantitative assessment of food web
   structure and ecosystem functioning. WINSAAM results showed that C
   return rate from nematodes to MPB was greater than the other two
   meiofaunal groups and soldier crabs assimilated more C from nematodes
   than from the other two meiofaunal groups. System indices from ECONET
   suggested that indirect flow contributed more than direct flow in this
   system. Unique capabilities of this approach in food web studies and
   assumptions underlying the proposed and conventional food web analytical
   approaches are discussed.
   5. Another significant advance of this approach is that it allows
   sensitive quantification of trophic linkages in a food web without
   requiring equilibrium to be achieved, thus enabling instantaneous
   assessment of the relative importance of various C flow pathways.
   Specific hypotheses about food web dynamics, such as the impact of
   eutrophication and urbanization, can then be tested quantitatively
   through manipulative experiments by comparing indices reflecting system
   behaviour.",10.1111/j.2041-210X.2010.00045.x,2011,Ka-Man Lee and Shing Yip Lee and Rod M. Connolly,METHODS IN ECOLOGY AND EVOLUTION,WoS_Old,analysis and combining compartmental dynamics ecological enrichment food for isotope measurement modelling network of quantitative stable web
"Plant identity control on soil food web structure and C transfers under
   perennial bioenergy plantations","Conversion from arable cropping systems to perennial bioenergy crops is
   increasing across Europe to meet market energy demands, but our
   understanding of how this land use change is affecting below-ground
   diversity and C allocation remains limited. Here, we assessed the impact
   of conversion from arable cropland to Miscanthus and Short Rotation
   Coppice (SRC) willow in UK bioenergy commercial plantations on earthworm
   community structure and abundance. At this same location we then
   conducted an in-situ (CO2)-C-13 pulse-chase labelling experiment in the
   two bioenergy plantations to trace the fate of recently
   photosynthetically assimilated carbon into roots, bulk soil, soil
   microbial (PLFA) and earthworm communities. Results showed that land
   conversion from annual arable crops to both Miscanthus and SRC willow
   perennial bioenergy crops led to severe reductions of soil earthworm
   abundance and biomass. SRC willow had higher microbial biomass relative
   to Miscanthus, whereas Miscanthus provided a better habitat for a more
   functionally diverse earthworm community. Transfer of labile C compounds
   to soil pools was faster under Miscanthus supporting activity of
   bacterial grazers in the soil food chain, whereas a fungal-driven
   detrital decomposition processes dominated under SRC willow plantations.
   Taken together, these findings indicate that plant identity in land
   conversions have a strong influence not only on the abundance and
   structure of soil communities but also on which basal resources (root
   exudates, dead organic matter or microbial derived compounds) are
   preferentially consumed, and ultimately on the rates of mobilisation of
   these different C pools.",10.1016/j.soilbio.2019.107603,2019,M. J. I. Briones and D. M. O. Elias and H. K. Grant and N. P. McNamara,SOIL BIOLOGY \& BIOCHEMISTRY,WoS_Old,and bioenergy c control food identity on perennial plant plantations soil structure transfers under web
